name,cspeed,dspeed,ratio
memcpy,10208,9161,100.00
brieflz -1,69.0,120,38.28
brieflz -3,42.3,127,35.64
brieflz -6,5.80,124,31.71
brieflz -8,0.86,158,30.45
brotli -0,135,134,37.02
brotli -2,51.2,155,32.12
brotli -5,18.1,162,28.10
brotli -8,3.99,166,26.96
lizard -10,327,1881,48.78
lizard -11,142,1677,44.28
lizard -12,58.9,1611,40.68
lizard -13,42.1,1659,39.52
lizard -14,37.5,1586,38.78
lizard -15,83.3,3391,38.30
lizard -16,60.5,3314,37.45
lizard -17,29.2,3375,36.82
lizard -18,6.63,3411,36.60
lizard -19,4.62,3442,36.52
lizard -20,375,2220,45.72
lizard -21,224,2229,42.10
lizard -22,55.8,934,40.04
lizard -23,20.0,930,38.24
lizard -24,11.9,962,36.88
lizard -25,6.75,935,35.45
lz4 1.10.0,541,3451,47.59
lz4hc -1,249,3034,42.05
zstd -1,419,1189,34.53
lizard -50,75.2,1423,34.44
